start	end	text
0.020080321285140562	3.2931726907630523	e la monetina la tira, la monetona. Numero uno è il mondo della mobilità.
3.5421686746987953	6.172690763052209	Quando uno sente parlare delle auto che si guidano da sole,
6.36144578313253	9.453815261044177	questa roba qui non è fantascienza. La domanda non è se succede.
9.54180602006689	11.849498327759196	La domanda è solo quando succede. 5 anni, 10 anni, 20 anni.
13.0	16.27309236947791	I don't know. Quello che però sappiamo è che lì c'è tutto un business nuovo
16.0	19.755020080321284	che si apre. E pensiamo al mondo della mobilità in termini anche allargati.
19.903614457831324	22.413654618473895	Hyperloop che è venuto fuori, i viaggi spaziali,
22.602409638554217	25.012048192771083	altra cosa che sta per succedere. È un settore che vivrà
25.281124497991968	28.674698795180724	grandi cambiamenti e grandi opportunità. Numero due, tutto quello che riguarda
28.261306532663315	29.86934673366834	che riguarda tecnologie e salute.
30.160804020100503	31.768844221105528	Mille ambiti, ne scelgo uno.
32.02010050251256	34.391959798994975	Il cervello. Andate a vedere Brian Johnson,
34.52261306532663	36.17085427135678	che ha fondato Kernel, ha fatto
36.0	36.824120603015075	uno speech carino a un evento di Recode,
38.44221105527638	40.09045226130653	e lui giustamente dice, guardate,
40.0	40.88442211055276	il cervello è quello su cui dobbiamo andare
42.402010050251256	44.11055276381909	a lavorare. Possiamo immaginare che nei prossimi
44.0	46.311557788944725	anni nel cervello picchieremo dentro
46.02010050251256	48.231155778894475	un tot di roba, perché vorremo curare
48.02010050251256	50.19095477386935	un tot di malattie, perché vorremo diventare
50.0	52.2713567839196	più intelligenti, e questo apre un mondo.
52.482412060301506	54.07035175879397	Anche lì, la puoi affrontare dal punto di vista
54.401594311377245	56.32924700598802	ingegneristico, se sei uno sviluppatore,
56.424172574626866	57.3129151119403	non ci sarà del software da...
