start	end	text
0.0	12.05722460658083	Ciao sono Chiara, allenatrice di public speaking e di video public speaking, che alleno di persona e via web, anche in inglese e in tedesco, anche attraverso percorsi individuali personalizzati.
12.70127504553734	20.795992714025502	Tanto più il tuo discorso è ben strutturato, tanto maggiore sarà il tuo impatto persuasivo nei confronti del pubblico.
21.0	29.216432865731463	In diversi miei video ti ho parlato del metodo del partenone per la costruzione di discorsi efficaci. Ripassiamolo insieme.
30.182639821029085	36.01565995525727	Uno speech, un discorso, è come un tempio, è come un partenone. Abbiamo una base che
35.96	41.85519379844961	corrisponde all'apertura del tuo discorso, abbiamo un corpo che corrisponde ai pilastri
41.72	43.50443890274314	del partenone e abbiamo una conclusione che corrisponde al tetto del partenone. Che cosa
48.16107238605898	53.25469168900805	fanno di solito le persone che non conoscono le regole del public speaking? In fase di apertura
54.48264392324094	60.69586353944563	si limitano a dire il classico buongiorno a tutti benvenuti sono mario sono veramente felice di
60.88051835853132	67.97580993520519	essere qui con voi oggi invece coloro che conoscono le regole del public speaking sanno che in fase di
67.94003565062388	78.67914438502673	apertura del discorso noi oratori abbiamo il potere se lo sfruttiamo di differenziarci ovvero di dire
77.16	78.68433048433049	qualcosa di diverso rispetto a quello che dicono tutti gli altri. E come? Non
82.60113314447592	87.35456090651559	iniziando con buongiorno, benvenuti, sono PINCO PALLO e sono felice di essere qui,
87.98179028132992	93.17503836317135	bensì iniziando con qualcosa che stupisce il pubblico. Può essere una
93.34064896755163	97.99433628318585	domanda, può essere una citazione, può essere una parola chiave, può essere una
98.16066852367688	103.13448467966575	storia, può essere un video. Insomma, vanno bene tutte queste opzioni
103.12	104.70408268733851	perché tu non scelga di iniziare con il classico buongiorno e benvenuti. Lo so a
109.06057142857144	113.23377777777779	cosa stai pensando ma allora non devo salutare? Non ho detto che non devi
113.2	118.83482849604222	salutare, ho detto che non lo devi fare in prima battuta, lo puoi fare in seconda
119.48181333333335	124.37482666666668	battuta. Per quanto riguarda il corpo del discorso ovvero i pilastri del
124.32000000000001	129.69468493150686	partenone, il mio consiglio è quello di non mettere troppi elementi nel tuo
129.64000000000001	131.06418879056048	discorso, perché rischieresti di stancare e confondere il pubblico. Molto
134.44	139.9947733333333	meglio scegliere tre o al massimo cinque elementi, quindi cinque pilastri all'interno
139.95999999999998	141.50412868632705	del tuo discorso e argomentarli uno per uno, guidando il pubblico nel seguirti.
146.24246153846153	150.01403076923074	Poi abbiamo la conclusione, il classico errore che fanno coloro che non
149.95999999999998	151.28341085271316	conoscono le tecniche di public speaking, è dire è niente, ho finito.
156.54191588785048	162.33542056074768	Oppure di guardare il pubblico e dire sì ho finito. In realtà terminare un
162.5608783783784	166.25331081081083	discorso in questo modo significa togliere valore a tutto quello che
166.36036474164135	170.85398176291793	abbiamo fatto e detto prima. La cosa più importante in un discorso oltre
170.8801393728223	174.79372822299652	all'apertura è proprio anche la conclusione. Nella conclusione possiamo
174.6	180.0746380697051	lasciare al pubblico un ricordo positivo di noi, possiamo permettere al pubblico di
180.10005698005696	181.52410256410255	ricordarci con un'emozione positiva. Quindi nella conclusione dobbiamo
185.7015890410959	190.53479452054793	riepilogare quello che abbiamo detto, farlo con energia, farlo col sorriso e
190.44	195.77465564738293	lanciare al pubblico la nostra call to action, ovvero il nostro specifico invito
196.38176943699736	201.25479892761396	all'azione. Detto questo è importante che le varie
201.20000000000002	202.92416464891042	parti del discorso siano collegate tra di loro in un modo fluido e chiaro.
207.560174291939	214.71572984749454	La primissima transizione che facciamo come speaker è quella dal silenzio alla prima
214.88045977011492	221.45554022988503	parola che diciamo, quindi noi arriviamo sul palco e prima di parlare dobbiamo fare una
221.39999999999998	223.18403628117912	transizione molto importante che quasi nessuno conosce, si chiama silenzio, quindi guardare
228.23999999999998	237.15633027522935	per tre secondi il pubblico, sorridere e rimanere lì immobili, tranquilli e assaporare questo
237.16	242.35450980392156	momento di silenzio che è fondamentale per catturare l'attenzione del pubblico e per
242.32	243.7640793201133	fargli capire che in quel momento i suoi occhi devono essere su di noi.
247.68072727272727	253.13485714285716	La seconda transizione è chiaramente quella che collega l'apertura al primo pilastro
253.12	259.63529411764705	del nostro discorso. Quindi potremmo fare una domanda al pubblico. Siete pronti a scoprire
259.64	265.17472	qual è il primo aspetto di questo argomento? E in questo modo andiamo a descrivere il primo
266.1225464190981	270.6745888594165	aspetto. Descritto il primo, possiamo chiedere al pubblico e adesso? Siete pronti
270.74005540166206	275.6335734072023	a scoprire il secondo? E descrivere il secondo aspetto. A questo punto, una volta
275.96000000000004	277.52434540389976	che avrai descritto il secondo elemento, ti manca di descrivere il terzo, giusto?
281.72127562642373	287.97548974943055	Potresti dire al pubblico ad esempio. Il terzo elemento, quello più importante,
287.96000000000004	289.4239142091153	deve ancora arrivare e adesso sono pronto a svelarmelo. A questo punto sei
293.44000000000005	297.913850931677	pronto per entrare nel corpo del discorso e potresti dire il primo
298.1204772234273	305.19579175704985	beneficio è e lo descrivi, il secondo beneficio è e lo descrivi e a questo
305.40082018927444	309.5338170347003	punto non mi resta che svelarvi quello che è il terzo il più importante
309.7005540166205	314.5940720221607	beneficio di tutti questi e sveli qual è il terzo ovvero il più importante. A
314.74	316.24415512465373	questo punto sei pronto per collegarti alla conclusione del discorso quindi
319.98	325.8149614395887	potresti dire, vi è chiaro? Avete capito? Avete riflettuto abbastanza su questi tre benefici?
327.08358126721765	331.0946005509642	Come potete attuarli nella vostra vita? Quindi fare delle domande al pubblico,
331.74161904761905	337.5554285714286	fai un breve riassunto di questi tre pilastri che hai trattato nel tuo discorso e lanci al
337.70051886792453	344.05547169811325	pubblico un invito all'azione. Per rendere ancora più chiari i passaggi da una parte all'altra del
344.14035164835167	351.11564835164836	tuo discorso, puoi utilizzare anche le cosiddette ancore spaziali, ovvero muoverti in modo strategico
351.38081632653063	355.85381924198254	sul palco e per questo ti rimando a vedere un video che trovi sul mio canale che si
355.98	356.6230331753555	intitola come muoversi sul palco.
358.7417993079585	361.8324567474049	Vuoi migliorare il tuo public speaking e il tuo video public speaking?
362.32075949367095	367.99508860759494	Vai subito su www.chiaraalsati.it, entra gratuitamente nella mia community lasciando
367.94	369.78482939632545	il tuo migliore indirizzo email e accedi subito ad una serie di bonds, tra i quali anche la
373.58000000000004	376.52729666886546	possibilità di ricevere direttamente a casa tua una copia gratuita dei miei libri. Ciao e al prossimo video!
