start	end	text
0.0	1.9456559766763848	adesso dei miei errori dei miei mistakes dei miei non so che cosa secondo me ho
5.0806968641114985	8.934076655052266	fatto due errori il primo errore è quello di iniziare a studiare tardi cioè
8.880848056537102	12.333003533568906	io ho frequentato tutte le lezioni perché per me è fondamentale tranne le
12.32	14.166996197718632	lezioni di una materia in realtà perché me l'ero presa antipatico lo giuro però
15.96144578313253	18.4714859437751	per il resto ho frequentato tutte le lezioni di tutte le materie ok di cui
18.6	22.81368078175896	sono stata una lezione due lezioni però in quel frangente lì non ho studiato o
22.920608365019014	26.092623574144486	almeno ho studiato pochissimo tipo ho letto un libricino e ho studiato davvero
26.04	28.771574468085106	poco secondo me questa cosa è stata sbagliata infatti nella prossima
28.76	34.73505050505051	sessione cercherò di essere un po' più non al passo che ogni giorno metto all'estudio perché lo so che non lo farò mai perché
34.7	41.31542056074767	Mi piace ridurmi all'ultimo ma mi piace l'ansietta l'ansietta proprio dell'esame qua e tu dici come non sa vasta va
41.54130653266332	43.53125628140704	Bien però voglio cercare almeno
44.08187353629977	49.87540983606558	Di memorizzare da subito le cose che sono state dette lezione perché ho lezione posso anche scrivere gli appunti ma se per casa non te
49.84	55.51509333333333	Dice leggi appunti rimangono là puoi te li scordi quindi secondo me ho sbagliato perché ho iniziato a studiare un po tardino
55.80134146341463	59.933902439024386	Seconda cosa che ho sbagliato è che mi sono focalizzata poco sulla modalità d'esame.
59.94	65.53484042553191	Cioè ad esempio c'era un esame che era scritto e io l'ho studiato come se fosse stato un orale, capito?
66.00190476190477	68.99282051282051	Cioè mi sono focalizzata poco su quello che davvero poteva andarti a chiedere,
68.96	69.98441558441557	sulla maniera dettagliata di cosa ti chiedeva.
71.78046035805626	77.4749872122762	Cioè secondo me dovevo stare più attenta anche a lezione a capire le parti che a lui interessavano di più
77.58047138047138	81.43340067340068	e le parti che sicuramente avrebbe messo nell'esame perché ho studiato un mallocco di cose,
81.6608253968254	85.77384126984127	ho studiato tanto tanto tanto tanto tanto, ma essenzialmente quello che ho studiato le cose
85.74005591054313	90.65375399361022	importanti erano magari la metà e io invece ho riempito il mio cervello di tante cose importanti
90.6805223880597	91.89619402985075	che per il momento è la stessa cosa
