start	end	text
0.20093896713615025	2.0696713615023477	la loro storia, le loro tecniche operative.
2.460717131474104	5.191553784860558	Online ci sono diversi video, magari pubblicati da loro,
5.520851063829787	8.051574468085107	oppure anche per esempio webinar a cui sono stati invitati.
8.1806511627907	10.049302325581396	Di nomi ed esempi ne potrei fare tanti,
10.560722021660649	13.431046931407941	a partire da Unger, Larry Williams, Linda Rushke,
14.160926640926641	17.05204633204633	Tom DeMarc, Perry Kaufman e tanti altri.
17.280669456066946	19.550125523012554	Come ho detto prima, e alla fine la cosa importante,
20.04046332046332	22.77096525096525	voi non per forza troverete video di qualità di queste persone,
23.280711111111113	25.450311111111112	ma troverete video con informazioni di qualità.
25.820807174887893	27.789596412556055	E se state cercando di imparare a fare trading,
28.30100558659218	29.44737430167598	quelle sono le persone giuste.
29.92060790273556	34.374103343465045	ok fatemi sapere con un commento cosa ne pensate e quali secondo voi sono le più
34.32	35.90524370155039	grandi difficoltà per chi inizia a fare trading e noi ci vediamo in un prossimo
38.879999999999995	39.167991666666666	prossimo video.
