start	end	text
0.26080495356037153	4.654365325077399	questo periodo chiaramente e la domanda è ma quale facoltà mi consigli di fare dopo il liceo
4.740905923344948	8.313310104529616	o comunque dopo le scuole superiori? Quale è la facoltà migliore? Quale è la facoltà più adatta
8.24	10.145571847507332	a me? E ognuno mi racconta qualcosa di sé e io do sempre risposte però abbastanza brevi e quindi
13.08	15.146299694189603	ho deciso di fare un video generale ma che possa andare bene per tutti. In più un'altra domanda
17.64	21.91369774919614	che mi sento fare è questa ma tu che cosa hai studiato? Quanto è stato importante quello che
21.88	26.954334277620397	hai studiato per te? Sei così perché hai studiato quelle cose lì? E che è anche un modo di sondare
27.260813008130082	32.39468834688347	anche questo, le facoltà eventuali da poter scegliere. In più anche chi già sta facendo
32.56075757575758	35.69257575757576	l'università spesso mi scrive domandandosi, guarda sono al secondo anno di questa facoltà
35.660000000000004	38.71225806451613	ma non lo so, forse ne voglio fare un'altra, forse voglio cambiare, cosa mi consigli di
38.64	43.153931888544896	fare? Cioè non so per quale motivo, molti mi vedete come consigliere per le vostre scelte
43.120000000000005	46.35248062015504	universitarie, però mi capita sempre più spesso, dico la verità, quindi ho bisogno
46.3	48.0456862745098	di fare questo video anche perché le prossime volte che me lo chiedete ve lo linko così,
50.44	55.89478260869565	sono a posto. La domanda secondo me è malposta, ma partiamo da un presupposto. Avete mai
55.82	59.95355263157895	sentito qualcuno domandarvi, guarda mi piace tantissimo la chimica, da grande vorrei fare
59.92	64.89362637362638	il chimico, mi consigli di fare chimica all'università? Nessuno ti farà mai una domanda come questa.
65.22	70.49465181058495	Stessa cosa, da grande voglio fare l'avvocato, mi consigli jurisprudenza, è quello che devi
70.70070175438596	76.09418546365914	fare. Queste domande vengono sempre da chi è indeciso. L'indecisione è una cosa nobile,
76.42	82.5151620947631	basta che non si protraga troppo a lungo. È importante spezzarla con un'azione, tanto
82.46000000000001	86.9739318885449	più se un'azione è sbagliata, perché così hai subito un feedback. In ogni caso l'indecisione
86.94	93.81555555555556	intorno alle facoltà universitarie, secondo me, è un po' mal posta, dicevo. Non è quello
93.9404776119403	97.93235820895522	il punto, non è quello il focus, secondo me, sul quale uno si deve concentrare a 18 anni,
98.5	103.23417417417417	a 20 anni, a 23 anni così. So che molti di voi sono giovani ragazzi, perché siete venuti
103.17999999999999	107.09340206185567	qua per vedere un video che parlava di Vegeta, oppure un video che parlava di Yotobi, quindi
107.02	112.49463806970509	quindi siete molto più giovani di me. Qual è il punto? Il punto non è questo. Il punto
112.5	119.1554060324826	è che a un certo momento, non farò ripetizione, della nostra vita dobbiamo decidere che l'adolescenza
119.18008830022075	120.70344370860927	– e per adolescenza intendo l'età d'oro del cazzeggio – è finita. La vita la farà
127.48317380352646	132.19501259445843	finire comunque, ma sarebbe meglio, per muoversi un po' più a ritmo con le cose e non subirle
132.18	133.90529230769232	passivamente sempre con un passo di ritardo, come ho fatto io nella mia vita ad esempio,
137.181059602649	143.85576158940398	meglio anticipare e decidere noi che l'adolescenza è finita, perché tanto finisce. Quindi bisogna
143.78	151.85615230460922	smettere di cazzeggiare e acquisire, darsi una forma mentis di lavorare duro, lavorare sodo,
152.2412602739726	157.21484931506848	non sprecare più il tempo e non procrastinare più il momento decisivo, perché il momento decisivo è
159.48530066815144	164.79710467706013	sempre il momento presente, questo è molto buscido. Questa è una risoluzione della mente
164.1	168.7137724550898	alla quale deve corrispondere una gire, altrimenti la puoi sempre rimandare a domani.
169.8025706940874	174.5146529562982	Sostanzialmente decidere di farsi il mazzo non è ancora abbastanza, bisogna farsi il mazzo.
174.6	179.97433155080213	Nel momento in cui ti fai il culo tutti i giorni, scusate il francesismo, non puoi più sbagliare.
180.86361904761904	183.49609523809522	Non puoi più sbagliare perché sbagli sempre, sbagli in continuazione.
